FIPS,RUCA_urban_code,sec_RUCA_urban_code,pop,land_area,pop_density
55083990000,99,99,0,0.0,
55085970101,10,10,"1,554",52.1,29.8
55085970102,8,8,"3,629",323.6,11.2
55085970400,8,8,"3,026",33.1,91.4
55085970500,8,8,"1,761",30.0,58.8
55085970601,8,8,"1,927",24.7,77.9
55085970602,8,8,"3,661",139.0,26.3
55085970800,10,10,"2,390",31.4,76.1
55085970900,10,10,"2,363",72.3,32.7
55085971001,9,9,"1,181",193.1,6.1
55085971002,10,10,"2,337",131.4,17.8
55085971100,8,8,"2,006",61.6,32.5
55085971300,10,10,"1,875",10.2,184.6
55085971400,7,7,"3,668",3.7,997.0
55085971500,7,7,"4,620",6.8,683.9
55087010100,1,1,"2,762",0.6,"5,010.4"
55087010200,1,1,"4,048",0.8,"5,221.3"
55087010300,1,1,"2,391",0.3,"8,503.7"
55087010500,1,1,"4,451",0.9,"5,062.0"
55087010601,1,1,"3,629",1.1,"3,314.4"
55087010602,1,1,"3,971",1.0,"3,976.6"
55087010700,1,1,"4,339",1.4,"3,086.4"
55087010800,1,1,"1,557",0.5,"3,164.2"
55087010900,1,1,"2,134",0.6,"3,292.5"
55087011000,1,1,"5,665",2.3,"2,507.4"
55087011101,1,1,"4,971",1.3,"3,874.4"
55087011102,1,1,"7,305",3.8,"1,936.5"
55087011200,1,1,"2,912",0.5,"5,624.1"
55087011300,1,1,"3,008",0.5,"5,815.1"
55087011400,1,1,"5,306",1.2,"4,252.5"
55087011501,1,1,"3,353",0.7,"4,777.3"
55087011502,1,1,"4,496",3.9,"1,164.5"
55087011600,1,1,"6,552",3.0,"2,180.6"
55087011700,1,1,"2,605",0.6,"4,062.3"
55087011800,1,1,"1,832",0.4,"4,269.4"
55087011900,1,1,"7,952",3.2,"2,472.6"
55087012000,1,1,"6,543",3.1,"2,086.6"
55087012100,1,1,"7,690",4.6,"1,673.3"
55087012200,1,1,"1,952",0.5,"4,287.9"
55087012300,1,1,"1,647",0.6,"2,644.0"
55087012400,1,1,"2,654",1.8,"1,477.4"
55087012503,1,1,"3,654",2.1,"1,775.1"
55087012504,1,1,"3,031",4.4,692.7
55087012505,1,1,"3,094",9.8,315.5
55087012506,1,1,"4,078",4.5,915.4
55087012601,1,1,"8,333",19.3,432.6
55087012602,2,2,"4,707",46.8,100.5
55087012700,2,2,"6,282",52.8,119.0
55087012800,2,2,"7,399",105.5,70.2
55087012901,2,2,"5,975",35.9,166.7
55087012902,2,2,"3,425",35.6,96.2
55087013100,2,2,"5,814",49.9,116.4
55087013200,3,3,"3,949",131.1,30.1
55087013300,1,1,"6,551",40.0,163.8
55087940000,2,2,"4,678",60.9,76.9
55089610101,2,2,"4,331",36.2,119.7
55089610102,2,2,"3,660",37.7,97.1
55089620100,1,1,"6,079",35.7,170.1
55089630100,1,1,"2,655",0.9,"2,886.3"
55089630201,1,1,"4,743",16.6,286.4
55089630202,1,1,"5,202",5.1,"1,027.3"
55089640100,1,1,"5,700",2.8,"2,036.9"
55089640200,1,1,"7,790",21.4,364.8
55089650101,1,1,"6,516",3.0,"2,187.8"
55089650102,1,1,"2,761",1.0,"2,884.5"
55089650200,1,1,"5,038",2.1,"2,371.4"
55089650300,2,2,"5,371",23.2,231.0
55089660100,1,1,"3,235",1.1,"2,982.0"
55089660201,1,1,"3,954",18.0,219.4
55089660202,1,1,"5,678",14.8,383.8
55089660301,1,1,"5,699",6.1,941.3
55089660303,1,1,"4,822",5.0,961.7
55089660304,1,1,"3,161",2.5,"1,260.7"
55089990000,99,99,0,0.0,
55091950100,10,10,"4,051",92.0,44.0
55091950200,10,10,"3,418",139.9,24.4
55093960100,10,10,"2,843",65.9,43.1
55093960200,3,3,"5,996",121.5,49.4
55093960300,4,4.1,"5,667",2.9,"1,974.6"
55093960400,4,4.1,"5,192",2.2,"2,361.9"
55093960500,2,2,"7,892",58.3,135.3
55093960600,5,5,"4,857",102.0,47.6
55093960700,7,7,"4,874",45.1,108.1
55093960800,10,10,"3,698",175.8,21.0
55095960100,10,10,"3,722",172.1,21.6
55095960200,10,10,"3,796",131.2,28.9
55095960300,10,10,"5,236",156.2,33.5
55095960500,9,9,"2,951",85.7,34.4
55095960600,10,10,"2,344",29.6,79.1
55095960700,10,10,"5,803",49.3,117.8
55095960800,7,7,"6,465",68.3,94.7
55095960900,3,3,"5,215",98.8,52.8
55095961000,7,7,"4,766",37.4,127.4
55095961100,10,10,"3,907",85.4,45.7
55097960100,5,5,"4,495",145.0,31.0
55097960200,5,5,"4,540",167.3,27.1
55097960300,4,4,"3,918",2.5,"1,582.8"
55097960400,4,4,"7,212",2.5,"2,933.2"
55097960500,4,4,"6,987",27.5,253.9
55097960600,5,5,"5,249",86.5,60.6
55097960701,4,4,"5,385",9.3,581.9
55097960702,4,4,"3,360",6.1,547.1
55097960800,4,4,"5,312",2.4,"2,180.0"
55097960900,4,4,"3,420",0.8,"4,452.5"
55097961000,4,4,"2,753",0.6,"4,988.0"
55097961100,4,4,"6,321",36.1,175.2
55097961200,4,4,"6,036",139.8,43.2
55097961300,5,5,"5,031",174.4,28.8
55099970100,10,10,"2,664",423.5,6.3
55099970200,10,10,"2,740",17.0,161.6
55099970400,10,10,"1,861",195.8,9.5
55099970500,10,10,"2,112",72.6,29.1
55099970600,10,10,"2,268",288.7,7.9
55099970700,10,10,"2,514",256.8,9.8
55101000100,1,1,918,0.2,"4,575.4"
55101000200,1,1,"5,962",0.6,"9,432.5"
55101000300,1,1,"3,648",0.5,"6,717.2"
55101000400,1,1,"3,924",0.7,"5,761.4"
55101000500,1,1,"5,269",0.7,"7,624.3"
55101000600,1,1,"5,515",0.9,"6,069.6"
55101000700,1,1,"5,608",0.9,"6,177.3"
55101000800,1,1,"4,531",2.3,"1,993.0"
55101000901,1,1,"3,783",1.3,"2,835.4"
55101000903,1,1,"4,093",1.7,"2,340.6"
55101000904,1,1,"5,392",2.2,"2,414.8"
55101001001,1,1,"2,705",0.6,"4,780.3"
55101001002,1,1,"2,635",0.4,"6,072.1"
55101001003,1,1,"3,800",0.4,"9,439.2"
55101001100,1,1,"6,192",1.5,"4,270.3"
55101001201,1,1,"3,744",2.3,"1,644.4"
55101001202,1,1,"6,512",2.0,"3,289.1"
55101001301,1,1,"3,609",0.4,"8,494.5"
55101001302,1,1,"3,997",0.5,"7,292.3"
55101001400,1,1,"6,732",1.3,"5,082.8"
55101001501,1,1,"3,779",3.4,"1,109.3"
55101001502,1,1,"7,094",5.1,"1,402.2"
55101001504,1,1,"2,781",1.3,"2,149.8"
55101001505,1,1,"4,432",1.8,"2,436.3"
55101001601,1,1,"6,054",30.7,197.1
55101001602,1,1,"2,949",4.2,697.8
55101001701,1,1,"3,445",4.7,736.3
55101001702,1,1,"6,707",6.0,"1,122.7"
55101001703,1,1,"4,371",16.7,261.4
55101001705,1,1,"5,337",2.7,"1,945.3"
55101001706,1,1,"3,675",2.1,"1,726.1"
55101001801,7,7,"5,198",5.8,892.9
55101001802,2,2,"2,788",30.2,92.2
55101001900,2,2,"3,870",35.5,109.0
55101002001,1,1,"2,987",4.7,633.5
55101002002,1,1,"4,961",29.0,171.1
55101002100,7,7,"3,324",34.3,96.8
55101002401,4,4,"5,727",6.4,890.9
55101002402,4,4,"5,116",3.2,"1,603.5"
55101002600,4,4,"5,739",28.1,203.9
55101002701,4,4,"4,048",2.0,"2,067.9"
55101002702,4,4,"5,839",21.5,272.2
55101002800,1,1,"5,891",30.4,193.5
55101980000,7,7,727,0.9,777.0
55101990000,99,99,0,0.0,
55103970100,10,10,"2,858",145.4,19.7
55103970200,8,8,"4,911",261.1,18.8
55103970300,7,7,"2,428",6.1,400.1
55103970400,7,7,"3,584",18.7,192.1
55103970500,9,9,"4,240",155.0,27.4
55105000100,1,1,897,0.2,"3,901.5"
55105000200,1,1,"2,864",0.6,"4,866.0"
55105000300,1,1,"2,705",0.5,"5,909.7"
55105000400,1,1,"3,736",1.3,"2,770.8"
55105000500,1,1,"4,287",1.8,"2,368.8"
55105000600,1,1,"3,295",1.2,"2,758.7"
55105000700,1,1,"3,960",1.4,"2,846.1"
55105000800,1,1,"3,856",0.9,"4,408.5"
55105000900,1,1,"2,790",1.2,"2,240.6"
55105001000,1,1,"3,279",2.4,"1,395.1"
55105001100,1,1,"5,479",1.5,"3,545.1"
55105001201,1,1,"5,541",30.2,183.3
55105001202,1,1,"5,758",25.0,230.5
55105001302,1,1,"6,664",36.1,184.5
55105001303,1,1,"4,603",17.4,264.3
55105001304,1,1,"8,084",3.3,"2,431.5"
55105001400,1,1,"5,810",18.5,314.8
55105001500,1,1,"2,326",0.8,"2,949.3"
55105001600,1,1,"5,050",0.6,"7,955.7"
55105001700,1,1,"5,385",1.2,"4,676.3"
55105001800,1,1,"4,147",0.9,"4,462.6"
55105001900,1,1,"2,734",0.7,"4,062.9"
55105002000,1,1,"3,848",1.1,"3,576.0"
55105002100,1,1,"3,834",2.3,"1,644.3"
55105002200,2,2,"2,307",22.7,101.5
55105002300,1,1,"1,871",1.0,"1,852.5"
55105002400,1,1,"3,530",3.7,957.2
55105002500,1,1,"2,595",0.6,"4,182.7"
55105002601,1,1,"5,472",5.4,"1,008.4"
55105002602,1,1,"3,917",30.8,127.2
55105002700,3,3,"2,571",82.7,31.1
55105002800,2,2,"5,201",110.9,46.9
55105002900,2,2,"8,058",71.1,113.4
55105003001,2,2,"5,037",4.0,"1,262.6"
55105003002,2,2,"4,996",55.4,90.2
55105003100,1,1,"7,581",33.6,225.6
55105003200,2,2,"2,663",99.8,26.7
55105003300,10,10,"3,600",45.3,79.5
55107960100,8,8,"3,792",374.7,10.1
55107960200,9,9,"2,028",258.8,7.8
55107960300,10,10,"2,245",105.8,21.2
55107960400,8,8,"2,981",167.9,17.8
55107960500,7,7,"3,709",6.4,580.4
55109120100,2,2,"2,033",0.7,"2,868.8"
55109120201,2,2,"5,861",2.8,"2,124.6"
55109120202,2,2,"5,161",14.3,361.2
55109120300,2,2,"5,794",7.4,778.3
55109120400,2,2,"10,513",81.9,128.4
55109120501,7,7.1,"5,445",22.9,237.7
55109120502,7,7.1,"5,201",14.0,372.4
55109120600,2,2,"7,569",141.6,53.5
55109120700,10,10,"4,569",144.0,31.7
55109120800,7,7,"8,341",107.7,77.5
55109120901,4,4.1,"4,121",13.1,314.9
55109120903,2,2,"8,609",28.7,300.2
55109120904,2,2,"4,036",74.7,54.0
55109121000,2,2,"7,092",68.7,103.2
55111000100,7,7,"6,616",72.6,91.2
55111000200,9,9,"4,901",103.9,47.1
55111000300,4,4,"6,785",20.2,336.7
55111000401,4,4,"5,147",7.0,734.3
55111000402,4,4,"3,464",18.8,184.6
55111000500,3,3,"3,338",91.0,36.7
55111000600,7,7.1,"6,578",83.3,78.9
55111000700,7,7.1,"2,725",7.1,383.4
55111000800,10,10,"3,873",91.2,42.5
55111000900,8,8,"4,792",136.9,35.0
55111001001,7,7,"6,742",8.0,847.3
55111001002,7,7,"2,881",6.3,459.6
55111001100,10,10,"4,134",184.6,22.4
55113100300,7,7,"4,584",29.8,153.7
55113100400,10,10,"2,205",132.9,16.6
55113100500,10,10,"3,394",319.9,10.6
55113100700,10,10,"1,654",185.8,8.9
55113100800,10,10,"1,658",457.9,3.6
55113940000,10,10,"3,062",131.0,23.4
55115100100,3,3,"2,797",64.6,43.3
55115100200,5,5,"1,796",13.6,132.3
55115100300,5,5,"3,672",44.0,83.4
55115100400,4,4,"4,649",3.2,"1,461.0"
55115100500,4,4,"4,899",5.2,951.0
55115100600,10,10,"4,240",157.2,27.0
55115100700,10,10,"3,423",143.2,23.9
55115100800,10,10.1,"4,860",146.2,33.2
55115100900,6,6,"3,820",106.0,36.0
55115101000,10,10,"3,801",70.4,54.0
55115101100,2,2,"3,992",139.5,28.6
55117000100,1,1,"3,827",0.8,"5,052.1"
55117000201,1,1,"2,912",0.3,"10,212.9"
55117000202,1,1,"4,149",0.8,"5,127.4"
55117000300,1,1,"7,111",2.3,"3,044.4"
55117000400,1,1,"4,412",2.6,"1,700.6"
55117000500,1,1,"3,898",0.5,"7,770.4"
55117000800,1,1,"5,397",1.0,"5,398.4"
55117000900,1,1,"5,126",3.5,"1,480.8"
55117001000,1,1,"7,415",1.9,"3,920.7"
55117001100,1,1,"3,627",1.4,"2,525.1"
55117010100,2,2,"1,531",39.1,39.1
55117010200,1,1,"4,598",18.0,255.0
55117010300,2,2,"3,101",34.7,89.3
55117010400,2,2,"2,622",73.5,35.7
55117010501,7,7.1,"7,914",17.3,458.5
55117010502,7,7.1,"3,478",15.5,223.9
55117010601,1,1,"5,594",2.6,"2,134.3"
55117010602,1,1,"3,793",33.1,114.6
55117010700,1,1,"8,202",14.7,557.0
55117010800,1,1,"3,507",22.6,155.2
55117010900,2,2,"3,208",36.3,88.3
55117011000,2,2,"2,754",35.6,77.3
55117011100,3,3,"4,171",72.1,57.8
55117011200,2,2,"3,615",35.9,100.7
55117011300,2,2,"7,121",44.4,160.3
55117011400,1,1,"2,424",0.5,"4,420.4"
55117990000,99,99,0,0.0,
55119960100,10,10.3,"4,290",221.0,19.4
55119960200,8,8,"2,331",317.5,7.3
55119960300,10,10,"3,001",252.5,11.9
55119960400,7,7,"4,853",74.4,65.2
55119960500,7,7,"2,789",3.6,776.3
55119960600,8,8,"3,425",105.9,32.3
55121100100,2,2,"3,262",89.3,36.5
55121100200,2,2,"3,309",112.0,29.5
55121100300,10,10,"2,455",76.4,32.1
55121100400,10,10,"3,912",86.3,45.3
55121100500,10,10,"3,091",106.7,29.0
55121100600,7,7,"4,072",75.0,54.3
55121100700,2,2,"5,045",106.7,47.3
55121100800,2,2,"3,670",80.5,45.6
55123960100,10,10,"4,266",138.1,30.9
55123960200,10,10,"4,186",138.5,30.2
55123960300,10,10,"4,307",68.7,62.7
55123960400,7,7,"4,876",18.4,264.4
55123960500,8,8,"3,507",168.1,20.9
